City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Luwuk,ID,85.71,-0.9516,122.7875,Hotel Santika Luwuk
5,Sorong,ID,83.61,-0.8833,131.25,The Waigo Hotel
7,Hilo,US,82.4,19.7297,-155.09,Hilo Hawaiian Hotel
8,Flinders,AU,81.0,-34.5833,150.8552,Shellharbour Resort & Conference Centre
14,Kapaa,US,79.0,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
16,Lethem,GY,79.34,3.3803,-59.7968,Savannah Inn
18,Atuona,PF,77.68,-9.8,-139.0333,Villa Enata
19,Rikitea,PF,78.42,-23.1203,-134.9692,Pension Maro'i
20,Maceio,BR,77.0,-9.6658,-35.7353,Hotel Ponta Verde Maceió
27,Grenville,GD,78.8,12.1167,-61.6167,Valley Breeze Guest House
33,Hithadhoo,MV,81.57,-0.6,73.0833,Scoop Guest House
34,Vaini,TO,87.8,-21.2,-175.2,Keleti Beach Resort
39,Tautira,PF,87.8,-17.7333,-149.15,Pension Oaoa
41,Arraial Do Cabo,BR,75.58,-22.9661,-42.0278,Pousada Porto Praia
42,Mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Sao Jose Da Coroa Grande,BR,77.58,-8.8978,-35.1478,Crôa Mares Hotel
57,Saint-Philippe,RE,77.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
60,Ananindeua,BR,77.0,-1.3656,-48.3722,Hotel Riviera d´Amazônia
62,Georgetown,MY,80.6,5.4112,100.3354,Cititel Penang
78,Puerto Ayora,EC,75.0,-0.7393,-90.3518,Castillo Galapagos
88,Mackay,AU,82.4,-21.15,149.2,International Lodge Motel
90,Salalah,OM,75.2,17.0151,54.0924,HAMDAN PLAZA HOTEL
94,Cayenne,GF,77.0,4.9333,-52.3333,Hôtel Le Dronmi
95,Samarai,PG,82.56,-10.6167,150.6667,Nuli Sapi
97,Bambanglipuro,ID,82.89,-7.95,110.2833,Puri Brata
101,Angoram,PG,76.15,-4.0625,144.0661,
107,Talavera,PH,78.8,15.6167,120.9333,R&G's Resort
111,Butaritari,KI,80.96,3.0707,172.7902,Isles Sunset Lodge
114,Tabou,CI,78.24,4.423,-7.3528,hotêl doufoulougou
116,Labuhan,ID,81.41,-6.8844,112.2051,PT PPI Lamongan Tambak C
122,Saint-Georges,GD,78.8,12.0564,-61.7485,Siesta Hotel
123,Pemangkat,ID,76.68,1.1667,108.9667,Kost H.Syamsuddin
124,Alofi,NU,87.8,-19.0595,-169.9187,Taloa Heights
132,Cikampek,ID,80.6,-6.4197,107.4558,Prime Plaza Hotel Purwakarta
137,Bhatkal,IN,78.87,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
142,Dhidhdhoo,MV,81.09,6.8833,73.1,Dhidhoo beach
144,Aitape,PG,83.25,-3.1374,142.3475,
147,San Rafael Del Sur,NI,77.0,11.8485,-86.4384,Hospedaje El Chino
149,Sibu,MY,77.0,2.3,111.8167,RH HOTEL (4 Star)
155,Kiunga,PG,75.2,-6.1219,141.2906,Airport Lodge Kiunga
158,Anloga,GH,78.8,5.7947,0.8973,Pin Drop Hotel
165,Avarua,CK,84.2,-21.2078,-159.775,Paradise Inn
166,Te Anau,NZ,76.57,-45.4167,167.7167,Kingsgate Hotel Te Anau
167,Candido Mendes,BR,76.03,-1.4467,-45.7167,Quebrada Do Mlk PJL
170,Faanui,PF,81.75,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Bathsheba,BB,78.8,13.2167,-59.5167,Atlantis Hotel
177,Padang,ID,83.12,-0.9492,100.3543,Mercure Padang
185,Kloulklubed,PW,84.2,7.0419,134.2556,Storyboard Beach Resort
187,Hobyo,SO,75.72,5.3505,48.5268,Halane Hotel and Restaurent
191,Cabedelo,BR,78.8,-6.9811,-34.8339,Hotel Pigalle
199,Yulara,AU,89.6,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
201,Kieta,PG,85.98,-6.2167,155.6333,
210,Carutapera,BR,78.39,-1.195,-46.02,Lidera
220,East London,ZA,75.02,-33.0153,27.9116,Tu Casa
225,Fram,PY,86.0,-26.9833,-55.8833,Albergue Ja'umina
234,Carnarvon,AU,82.4,-24.8667,113.6333,Hospitality Carnarvon
243,Luanda,AO,75.2,-8.8368,13.2343,EPIC SANA Luanda
247,Mitsamiouli,KM,80.37,-11.3847,43.2844,Foyer ADM
249,Davila,PH,80.6,18.4726,120.5763,Blue Ridge Beach Resort
263,Makakilo City,US,80.6,21.3469,-158.0858,Marriott's Ko Olina Beach Club
268,Kahului,US,84.2,20.8947,-156.47,Maui Seaside Hotel
269,West Bay,KY,78.8,19.3667,-81.4167,Calypso Cove
277,Sao Joao Da Barra,BR,75.72,-21.6403,-41.0511,Pousada Porto De Canoas
283,Meulaboh,ID,79.0,4.1363,96.1285,Kost Pria
284,Kismayo,SO,76.23,-0.3582,42.5454,Agan-Hotel
291,Ambilobe,MG,75.11,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
292,Kavaratti,IN,82.33,10.5669,72.642,Hotels in Lakshadweep Islands
294,Angoche,MZ,78.19,-16.2325,39.9086,Guest House HESADA
299,Kupang,ID,80.6,-10.1667,123.5833,Hotel On The Rock by Prasanthi
300,Vao,NC,76.89,-22.6667,167.4833,Hotel Kou-Bugny
304,Inhambane,MZ,78.85,-23.865,35.3833,Oceano
308,Acapulco,MX,78.8,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,Camocim,BR,77.9,-2.9022,-40.8411,Hotel Ilha do Amor
312,Dingle,PH,82.6,10.9995,122.6711,SEGAYA PROPERTY
315,Atambua,ID,84.33,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
319,Kavieng,PG,85.71,-2.5744,150.7967,Nusa Island Retreat
324,Matara,LK,76.78,5.9485,80.5353,Amaloh Boutique Resort
326,Iquitos,PE,75.2,-3.7481,-73.2472,Cortez Malaga Techy Caroly
327,Olinda,BR,78.8,-8.0089,-34.8553,Flat Quatro Rodas Olinda
328,Miri,MY,80.6,4.4148,114.0089,"Mega Hotel, Miri"
332,Puerto Escondido,MX,77.0,15.85,-97.0667,Aldea del Bazar Hotel and Spa
333,Pandan,PH,79.95,14.0453,124.1694,Bonifacio Lodge
336,Soc Trang,VN,78.8,9.6033,105.98,Phu Qui Hotel
338,Santo Domingo,DO,79.0,18.5001,-69.9886,Micro Hotel Condo Suites
340,Warri,NG,75.81,5.5167,5.75,BON Hotel Delta
344,Tutoia,BR,79.75,-2.7619,-42.2744,Pousada Guará's
348,Road Town,VG,77.0,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
350,Shagamu,NG,80.6,6.8432,3.6478,Remo Majestic Hotel
351,Moerai,PF,79.5,-22.4333,-151.3333,Le Manotel
352,Manicore,BR,77.0,-5.8092,-61.3003,Hotel Durval
361,Sidney,AU,81.0,-33.8679,151.2073,The Grace Hotel
373,Hambantota,LK,75.2,6.1241,81.1185,Bungalow 63
374,Bubaque,GW,78.13,11.2833,-15.8333,"Casa Dora, Bubaque"
384,Inirida,CO,75.16,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
392,Souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
396,Mucurapo,TT,78.01,10.6667,-61.5333,Courtyard by Marriott Port of Spain
398,Batemans Bay,AU,79.0,-35.7167,150.1833,Batemans Bay Marina Resort
407,Bangkalan,ID,82.4,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
414,Presidencia Roque Saenz Pena,AR,84.0,-26.7852,-60.4388,Hotel Gualok
416,Payo,ID,79.12,-3.7508,103.6372,Mess keban agung
420,Cabinda,AO,76.93,-5.55,12.2,"Hotel Executivo , 3 estrelas"
421,Lufilufi,WS,89.6,-13.8745,-171.5986,Leuaina Beach Resort and Spa
422,Hervey Bay,AU,86.0,-25.2986,152.8535,Shelly Bay Resort
423,Beira,MZ,78.8,-19.8436,34.8389,Beira Terrace Hotel
427,Bambous Virieux,MU,77.0,-20.3428,57.7575,Casa Tia Villa
430,Santa Fe,AR,75.99,-31.6333,-60.7,Conquistador Hotel
433,Katherine,AU,89.6,-14.4667,132.2667,Pine Tree Motel
435,Lorengau,PG,86.32,-2.0226,147.2712,Lorengau Harbourside Hotel
445,Poum,NC,79.27,-20.2333,164.0167,Gîte kajeon
452,Eydhafushi,MV,80.85,5.1033,73.0708,Soneva Fushi
454,Nhulunbuy,AU,86.0,-12.2333,136.7667,East Arnhem Real Estate
458,Isangel,VU,79.84,-19.55,169.2667,Volcano Sea View Tree House
463,Axim,GH,78.57,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
466,Balaipungut,ID,78.8,1.05,101.2833,
472,Ugoofaaru,MV,81.18,5.6667,73.0,Ungoofaaru Inn
475,Muisne,EC,76.91,0.6,-80.0333,Quinta Samay
481,Nelson Bay,AU,81.0,-32.7167,152.15,Mantra Nelson Bay
491,Vila Velha,BR,75.2,-20.3297,-40.2925,Hotel Vitória Palace
495,Bengkulu,ID,82.63,-3.8004,102.2655,Grage Hotel Bengkulu
496,Sungai Padi,TH,80.01,6.0851,101.8766,237บอล&บาส
497,Simbahan,PH,81.77,6.3032,120.5836,
498,San Juan Del Sur,NI,78.57,11.2529,-85.8705,Nuestra Casa
500,Boyolangu,ID,82.56,-8.1181,111.8935,Yos ega cv
503,Charters Towers,AU,86.45,-20.1,146.2667,Cattleman's Rest Motor Inn
508,Natal,BR,80.6,-5.795,-35.2094,Villa Park Hotel | Natal
512,Koumac,NC,80.24,-20.5667,164.2833,Le Monitel
526,Caravelas,BR,75.36,-17.7125,-39.2481,Pousada dos Navegantes
532,Auki,SB,87.64,-8.7676,160.7034,Auki Motel
533,Bouloupari,NC,87.8,-21.8667,166.05,Oua-Ya Lodge
536,Moron,AR,78.01,-34.6534,-58.6198,Hotel Morón
539,Quatre Cocos,MU,77.0,-20.2078,57.7625,Emeraude Beach Attitude Hotel
543,Becerril,CO,78.51,9.7041,-73.2793,Barrio El Carmen
551,Buchanan,LR,78.21,5.8808,-10.0467,Kamaneahn Hotel Inc
553,Karwar,IN,76.26,14.8,74.1333,Netalco Connects
560,Ternate,ID,84.29,0.8,127.4,Grand Dafam Bela Ternate
566,Sabang,ID,80.96,5.8933,95.3214,Hotel Citra
567,Kribi,CM,77.95,2.95,9.9167,Les Vagues bleues
573,Blackwater,AU,89.94,-23.5833,148.8833,Blackwater Motor Inn
579,Wanaka,NZ,79.39,-44.7,169.15,Wanaka Homestead Lodge and Cottages
582,Gorontalo,ID,88.25,0.5412,123.0595,Maqna Hotel by Prasanthi
590,Jose De Freitas,BR,78.8,-4.7564,-42.5756,Quintal Quinca Ló e Zinoca
596,Ulladulla,AU,79.0,-35.35,150.4667,Sandpiper Motel
599,Labuan,MY,78.8,5.2767,115.2417,Tiara Labuan Hotel
600,Farafangana,MG,76.41,-22.8167,47.8333,Miarina
601,Nha Trang,VN,77.0,12.25,109.1833,Hanoi Golden Hotel
605,Yeppoon,AU,86.0,-23.1333,150.7333,Villa Mar Colina
610,Manacapuru,BR,75.2,-3.2997,-60.6206,Novo Hotel
621,Lodwar,KE,79.95,3.1191,35.5973,Turkwel Lodge
625,Nanakuli,US,80.6,21.3906,-158.1547,Camp Pālehua
628,Vaitape,PF,81.75,-16.5167,-151.75,Conrad Bora Bora Nui
631,Negombo,LK,75.2,7.2083,79.8358,Hotel Sunset Beach
638,Port Blair,IN,79.54,11.6667,92.75,Welcomhotel Bay Island Port Blair
639,Sibolga,ID,82.02,1.7427,98.7792,Hotel Syariah CN Darussalam
640,Puerto Narino,CO,77.0,-3.7703,-70.3831,Eware Refugio Amazonico
643,Kawalu,ID,79.52,-7.3817,108.2082,KOSAN UNGU UNSIK
644,Biak,ID,82.9,-0.9131,122.8766,Penginapan Kim
650,Puerto Ayacucho,VE,76.64,5.6639,-67.6236,Posada Turistica Manapiare
654,Cabadiangan,PH,84.43,9.7531,122.4739,Kipot
656,Tiarei,PF,87.8,-17.5333,-149.3333,Le Rocher de Tahiti
662,Mayumba,GA,77.47,-3.432,10.6554,LIKWALE LODGE
674,Maragogi,BR,77.81,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
683,Saint-Pierre,RE,77.0,-21.3393,55.4781,Lindsey Hôtel
695,Lagos,NG,80.6,6.5833,3.75,
697,Fuerte Olimpo,PY,77.72,-21.0415,-57.8738,Hospedaje DAMI
704,Buala,SB,86.16,-8.145,159.5921,Maringe Lagoon Lodge
705,Port Shepstone,ZA,75.29,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
706,Rafaela,AR,75.99,-31.2503,-61.4867,Parra Hotel & Suites
709,Kailua,US,80.6,21.4022,-157.7394,Sheffield House Bed & Breakfast
715,Canaway,PH,79.25,13.3185,123.7131,Dos Montes Spring Resort
722,Manokwari,ID,83.59,-0.8667,134.0833,Swiss Belhotel Manokwari
727,Pattani,TH,80.6,6.75,100.4167,Tobias Kleeberg
